Date,"LT Real Average (10> Yrs)"
03/08/2021,0.01
03/05/2021,-0.02
03/04/2021,0.00
03/03/2021,-0.05
03/02/2021,-0.07
03/01/2021,-0.03
02/26/2021,-0.09
02/25/2021,0.05
02/24/2021,-0.08
02/23/2021,-0.10
02/22/2021,-0.12
02/19/2021,-0.15
02/18/2021,-0.22
02/17/2021,-0.27
02/16/2021,-0.27
02/12/2021,-0.33
02/11/2021,-0.36
02/10/2021,-0.40
02/09/2021,-0.38
02/08/2021,-0.37
02/05/2021,-0.36
02/04/2021,-0.39
02/03/2021,-0.41
02/02/2021,-0.42
02/01/2021,-0.42
01/29/2021,-0.42
01/28/2021,-0.46
01/27/2021,-0.43
01/26/2021,-0.43
01/25/2021,-0.45
01/22/2021,-0.43
01/21/2021,-0.43
01/20/2021,-0.42
01/19/2021,-0.40
01/15/2021,-0.38
01/14/2021,-0.36
01/13/2021,-0.39
01/12/2021,-0.34
01/11/2021,-0.32
01/08/2021,-0.33
01/07/2021,-0.39
01/06/2021,-0.41
01/05/2021,-0.47
01/04/2021,-0.50
